model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Llama-3.1-8B-Instruct,0,mmlu,,0,1,3.9109007120132446,4.956916809082031,0.29893386363983154,2.75,0.08670385926961899,0.15697981417179108,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.671671509742737,3.11806058883667,0.003330708364956081,8.25,-0.057172367349267006,-0.039636578410863876,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,2.391845464706421,4.783690929412842,0.6186152515001595,0.5,0.0900320028886199,0.16995644569396973,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,3.837612748146057,4.7703657150268555,0.1300213645445183,3.0,0.08015923202037811,0.10030439496040344,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,4.157413840293884,5.596518516540527,0.5282436215784401,1.375,0.04828761052340269,0.11614355444908142,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,4.797016143798828,6.862398147583008,0.6898512894986197,0.25,0.04553744802251458,0.08162540197372437,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,2.7049840688705444,3.0514352321624756,0.1617940329015255,6.0,0.025700643658638,0.10305806249380112,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,3.757662773132324,7.515325546264648,0.017876763246022165,5.625,0.1739940606057644,0.24454164505004883,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.3651955127716064,4.730391025543213,0.08136485621798784,3.375,0.0952382180839777,0.14966894686222076,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,4.077463865280151,5.409968376159668,0.41649699956178665,0.625,0.14313708990812302,0.2249659299850464,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,3.6710498332977295,4.450564861297607,0.04497812339104712,8.125,0.06390552595257759,0.10662001371383667,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,5.116817355155945,7.435375213623047,0.6070043793879449,0.5,0.1320988778024912,0.2873278260231018,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,3.764325261116028,4.730391025543213,0.09405676880851388,3.5,0.015500274021178484,0.042360030114650726,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.4118332862854004,4.823666572570801,0.3224274314416107,1.25,0.06158459931612015,0.10951156914234161,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.6976999044418335,4.57049036026001,0.015756516833789647,6.0,-0.001536533236503601,0.06960472464561462,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,1.1659414768218994,2.331882953643799,0.00024447382747894153,11.375,0.1010747179389,0.1078834980726242,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.5711121559143066,7.142224311828613,0.23868214595131576,3.0,0.16355600208044052,0.16989107429981232,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,2.2119574546813965,4.423914909362793,0.004276482097338885,7.75,0.05929703882429749,0.115090511739254,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.6117087602615356,3.0381102561950684,0.0019717037212103605,9.125,0.009912864305078983,0.04810776188969612,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,3.9109004735946655,4.810340881347656,0.5452459251973778,0.5,0.11927580460906029,0.19504286348819733,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,4.817003846168518,6.795773029327393,0.4799550647730939,0.375,0.09399725869297981,0.17136745154857635,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.605046272277832,2.851559638977051,0.07940580323338509,4.75,0.06913242302834988,0.11547981202602386,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,3.937550902366638,5.22341775894165,0.6405516224913299,0.25,0.05544527154415846,0.12011415511369705,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.9442132711410522,4.9169416427612305,0.039325373247265816,4.5,0.04915281664580107,0.06892675161361694,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,3.897575616836548,4.903616428375244,0.7043781280517578,2.25,0.13921605795621872,0.16165733337402344,0
Llama-3.1-8B-Instruct,0,medqa,,0,1,3.7310125827789307,7.462025165557861,0.05253644101321697,6.0,0.14245926216244698,0.20220911502838135,0
