model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.23703070729970932,0.5285385251045227,0.25004012430872535,14.375,0.1435277834534645,0.17036312818527222,0,0.23703070729970932,0,0,14.375,0.25004012430872535
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.049064889550209045,0.2056887447834015,0.25645759352482855,7.5,0.3766729459166527,0.5718163847923279,0,-0.049064889550209045,0,0,7.5,0.25645759352482855
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.3900505527853966,0.16192032396793365,0.024031770473811775,9.5,0.14709586650133133,0.18631237745285034,0,-0.3900505527853966,0,0,9.5,0.024031770473811775
Qwen2.5-7B-Instruct,0,mmlu,,0,1,0.3377027604728937,0.6147807240486145,0.31908515840768814,2.75,0.28186844382435083,0.5458084344863892,0,0.3377027604728937,0,0,2.75,0.31908515840768814
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.10420276038348675,0.16498269140720367,0.08719877904513851,8.875,0.11784760653972626,0.13162165880203247,0,0.10420276038348675,0,0,8.875,0.08719877904513851
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.48414487403351814,0.001506551867350936,0.32120883258176036,11.0,0.2134823501110077,0.3100953996181488,0,-0.48414487403351814,0,0,11.0,0.32120883258176036
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.3416464775800705,-0.24274125695228577,0.15925454522948712,2.25,0.39954909682273865,0.6485730409622192,0,-0.3416464775800705,0,0,2.25,0.15925454522948712
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.16420283913612366,0.3527677357196808,0.28847738507784015,14.5,0.20159802585840225,0.21673206984996796,0,0.16420283913612366,0,0,14.5,0.28847738507784015
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.02308213710784912,0.27226415276527405,0.10107934661209583,3.5,0.29953836649656296,0.45500248670578003,0,-0.02308213710784912,0,0,3.5,0.10107934661209583
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.06425917893648148,0.2651883661746979,0.3475386177015025,9.75,0.2003391608595848,0.31963402032852173,0,0.06425917893648148,0,0,9.75,0.3475386177015025
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.21550831198692322,0.2847447395324707,0.38795082977731,14.25,0.1615779846906662,0.16904908418655396,0,-0.21550831198692322,0,0,14.25,0.38795082977731
Qwen2.5-7B-Instruct,0,mmlu,,0,1,-0.32663433626294136,0.09796109050512314,0.11120068281888962,5.0,0.28660595417022705,0.31437698006629944,0,-0.32663433626294136,0,0,5.0,0.11120068281888962
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.21788553893566132,-0.16467919945716858,0.330209860985633,8.75,0.26017115637660027,0.4023640751838684,0,-0.21788553893566132,0,0,8.75,0.330209860985633
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.17049366235733032,0.3278086185455322,0.34511014061035894,15.125,0.15865865349769592,0.18752852082252502,0,-0.17049366235733032,0,0,15.125,0.34511014061035894
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.031554460525512695,0.4071219861507416,0.7477133896077248,14.125,0.20694292522966862,0.3655582070350647,0,0.031554460525512695,0,0,14.125,0.7477133896077248
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.4830150902271271,-0.42711615562438965,0.0422002668492496,11.875,0.1869755107909441,0.3619089424610138,0,-0.4830150902271271,0,0,11.875,0.0422002668492496
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.0975380027666688,-0.02968284673988819,0.2521977461874485,4.25,0.09777247440069914,0.167627215385437,0,-0.0975380027666688,0,0,4.25,0.2521977461874485
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.06540963053703308,0.3367750942707062,0.08269229903817177,4.75,0.21882393956184387,0.25762131810188293,0,0.06540963053703308,0,0,4.75,0.08269229903817177
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.16036823391914368,0.670413613319397,0.29215093794976355,18.75,0.0853097049985081,0.16527768969535828,0,0.16036823391914368,0,0,18.75,0.29215093794976355
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.22100438922643661,0.4813612699508667,0.00268401193761747,15.25,0.3165011629462242,0.5512027144432068,0,0.22100438922643661,0,0,15.25,0.00268401193761747
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.6820883750915527,-0.34334397315979004,0.12271161796525121,6.5,0.20122522115707397,0.3533492386341095,0,-0.6820883750915527,0,0,6.5,0.12271161796525121
Qwen2.5-7B-Instruct,0,mmlu,,0,1,-0.16545331478118896,-0.1420958787202835,0.6475358605384827,1.0,0.3556114211678505,0.5527903437614441,0,-0.16545331478118896,0,0,1.0,0.6475358605384827
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.14061151444911957,0.46816298365592957,0.4542579376088156,17.0,0.24613886326551437,0.3350863754749298,0,0.14061151444911957,0,0,17.0,0.4542579376088156
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.30235680565238,-0.09921186417341232,0.25628153420984745,6.75,0.2848365642130375,0.44567346572875977,0,-0.30235680565238,0,0,6.75,0.25628153420984745
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.6004420164972544,-0.014609385281801224,0.23610273003578186,4.75,0.29124438762664795,0.468567430973053,0,-0.6004420164972544,0,0,4.75,0.23610273003578186
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.19162059761583805,0.4382656216621399,0.7242701943773682,14.0,0.21749520301818848,0.2603696286678314,0,0.19162059761583805,0,0,14.0,0.7242701943773682
Qwen2.5-7B-Instruct,0,mmlu,,0,1,-0.224672831594944,-0.15351055562496185,0.2891941498965025,5.75,0.18872109055519104,0.314812034368515,0,-0.224672831594944,0,0,5.75,0.2891941498965025
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.10420532152056694,-0.04771587997674942,0.010053410194814205,7.75,0.2468148060142994,0.4108128547668457,0,-0.10420532152056694,0,0,7.75,0.010053410194814205
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.059405744075775146,0.33057382702827454,0.14340239193279558,14.125,0.21649688109755516,0.3313934803009033,0,-0.059405744075775146,0,0,14.125,0.14340239193279558
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.33958350121974945,0.13893690705299377,0.8031201362609863,0.5,0.22755170986056328,0.35042476654052734,0,-0.33958350121974945,0,0,0.5,0.8031201362609863
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.24092427641153336,-0.2243259698152542,0.46005842834711075,6.0,0.17525899782776833,0.23620687425136566,0,-0.24092427641153336,0,0,6.0,0.46005842834711075
Qwen2.5-7B-Instruct,0,mmlu,,0,1,0.08078731596469879,0.560582160949707,0.11057226778939366,7.0,0.07982811518013477,0.10319529473781586,0,0.08078731596469879,0,0,7.0,0.11057226778939366
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.2158185876905918,-0.07071990519762039,0.20374538107807894,14.125,0.13400918990373611,0.15904588997364044,0,-0.2158185876905918,0,0,14.125,0.20374538107807894
