model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.3706842362880707,0.3795938491821289,0.0025589185243006796,7.875,-0.01059027947485447,0.046234387904405594,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.1918732039630413,0.4646647870540619,0.5234906905388925,0.125,0.05872739292681217,0.07486649602651596,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.020299047231674194,0.28023940324783325,0.19759614957729355,2.0,0.1501559428870678,0.1766648292541504,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,0.09246490150690079,0.3303309381008148,0.5205961226020008,0.75,0.06504315696656704,0.15386350452899933,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.10676607489585876,0.416022926568985,0.4452517032623291,1.625,0.11087510734796524,0.11880967766046524,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.07248709723353386,0.2674407660961151,0.6410092164296657,0.125,0.07404324319213629,0.12830203771591187,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.12916893512010574,0.3399745523929596,0.5593127906322479,2.5,0.07988150883466005,0.1589261144399643,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,0.17935107462108135,0.3630684018135071,0.29893386363983154,2.75,0.08670385926961899,0.15697981417179108,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.23288815468549728,0.27642422914505005,0.003330708364956081,8.25,-0.057172367349267006,-0.039636578410863876,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.039680905640125275,0.2536977529525757,0.6186152515001595,0.5,0.0900320028886199,0.16995644569396973,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,0.29463839530944824,0.4303959310054779,0.1300213645445183,3.0,0.08015923202037811,0.10030439496040344,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.13973158411681652,0.29681041836738586,0.5282436215784401,1.375,0.04828761052340269,0.11614355444908142,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.13165242969989777,0.40480920672416687,0.6898512894986197,0.25,0.04553744802251458,0.08162540197372437,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.10774026811122894,0.35773327946662903,0.1617940329015255,6.0,0.025700643658638,0.10305806249380112,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.19475253485143185,0.32953810691833496,0.017876763246022165,5.625,0.1739940606057644,0.24454164505004883,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.13539920561015606,0.3206253945827484,0.08136485621798784,3.375,0.0952382180839777,0.14966894686222076,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.018447622656822205,0.27231019735336304,0.41649699956178665,0.625,0.14313708990812302,0.2249659299850464,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.18240759521722794,0.3290872275829315,0.04497812339104712,8.125,0.06390552595257759,0.10662001371383667,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.12193483486771584,0.32509344816207886,0.6070043793879449,0.5,0.1320988778024912,0.2873278260231018,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.1409322079271078,0.2315341979265213,0.09405676880851388,3.5,0.015500274021178484,0.042360030114650726,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.011487483978271484,0.3980809450149536,0.3224274314416107,1.25,0.06158459931612015,0.10951156914234161,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.3205999881029129,0.4441186785697937,0.015756516833789647,6.0,-0.001536533236503601,0.06960472464561462,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.39793676137924194,0.41865912079811096,0.00024447382747894153,11.375,0.1010747179389,0.1078834980726242,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.1901300074532628,0.36379316449165344,0.23868214595131576,3.0,0.16355600208044052,0.16989107429981232,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.28048720210790634,0.3196203410625458,0.004276482097338885,7.75,0.05929703882429749,0.115090511739254,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.3709520250558853,0.43232476711273193,0.0019717037212103605,9.125,0.009912864305078983,0.04810776188969612,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.06050865352153778,0.292567640542984,0.5452459251973778,0.5,0.11927580460906029,0.19504286348819733,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.11860320717096329,0.3827762305736542,0.4799550647730939,0.375,0.09399725869297981,0.17136745154857635,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.09578507766127586,0.2855669856071472,0.07940580323338509,4.75,0.06913242302834988,0.11547981202602386,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.0697932243347168,0.28144702315330505,0.6405516224913299,0.25,0.05544527154415846,0.12011415511369705,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.17592616751790047,0.296297550201416,0.039325373247265816,4.5,0.04915281664580107,0.06892675161361694,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.07255869358778,0.27695584297180176,0.7043781280517578,2.25,0.13921605795621872,0.16165733337402344,0
Llama-3.1-8B-Instruct,0,medqa,,0,1,0.16812217980623245,0.30466198921203613,0.05253644101321697,6.0,0.14245926216244698,0.20220911502838135,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.09531990271061659,0.24647191166877747,1.0386585585772992,5.125,0.07946880809031427,0.23143337666988373,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.3614192456007004,0.40402013063430786,0.045085515826940536,7.0,0.11464350577443838,0.24391843378543854,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.25611168146133423,0.34315231442451477,0.011779783410020173,6.875,0.10903236828744411,0.16445636749267578,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.1274659615010023,0.27858805656433105,0.4464800301939249,1.5,0.16147620230913162,0.2167554497718811,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.13716395944356918,0.3087005615234375,0.24182772636413574,2.0,0.0805323775857687,0.15508969128131866,0
Llama-3.1-8B-Instruct,0,medqa,,0,1,0.20881984196603298,0.4744574725627899,0.6406799890100956,0.0,-0.002220403403043747,0.0918765664100647,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.17511877045035362,0.2864433825016022,0.1300571784377098,4.125,0.10186981782317162,0.11218646168708801,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.19186664372682571,0.523147702217102,0.5854182507609949,0.125,0.11280089616775513,0.12653817236423492,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.18955021351575851,0.2810888886451721,0.16667508729733527,7.875,0.18106242269277573,0.21742825210094452,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.24195928871631622,0.3180844485759735,0.07869188487529755,4.75,0.11436791345477104,0.15053842961788177,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.1379541140049696,0.32540953159332275,0.5366151183843613,1.0,0.13581163436174393,0.23754476010799408,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.23853211849927902,0.39081937074661255,0.025866664247587323,5.625,0.10388410836458206,0.11714717000722885,0
Llama-3.1-8B-Instruct,0,medqa,,0,1,0.20743779838085175,0.2307412028312683,0.017988987732678652,6.5,0.16246762871742249,0.19668126106262207,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.1616408172994852,0.28521817922592163,0.41464152676053345,1.5,0.15098454058170319,0.15518085658550262,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.048285119235515594,0.24112041294574738,0.7332133948802948,0.875,0.08192340284585953,0.13052482903003693,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.17849038541316986,0.19627821445465088,0.044557200744748116,4.625,0.1633639931678772,0.18253633379936218,0
Llama-3.1-8B-Instruct,0,medqa,,0,1,0.16127796843647957,0.4161131680011749,0.5607429295778275,0.125,0.07662105560302734,0.10174877941608429,0
Llama-3.1-8B-Instruct,0,medqa,,0,1,0.1862584501504898,0.28499916195869446,0.44286423921585083,2.25,0.061325570568442345,0.08430317789316177,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.021586008369922638,0.28541114926338196,0.1736598089337349,3.375,0.08174625691026449,0.15096794068813324,0
Llama-3.1-8B-Instruct,0,medqa,,0,1,0.0905807614326477,0.4189876914024353,0.30622345209121704,3.0,0.07225371152162552,0.08198639750480652,0
Llama-3.1-8B-Instruct,0,medqa,,0,1,0.2538597658276558,0.4417562186717987,0.6553543955087662,0.625,0.054423398338258266,0.09182579070329666,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.05582693964242935,0.21602489054203033,0.057007454335689545,4.75,0.17552555352449417,0.19803546369075775,0
Llama-3.1-8B-Instruct,0,medqa,,1,1,0.33204252272844315,0.4144851863384247,0.02092204848304391,7.0,0.02181609347462654,0.09850206971168518,0
