model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.05789036303758621,0.2946796417236328,0.08283376523377228,14.75,0.21979255974292755,0.3407622277736664,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.16945181787014008,0.34755054116249084,0.47263333573937416,0.5,0.14516352489590645,0.22198538482189178,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.05411131680011749,0.4113601744174957,0.2672316818352556,10.5,0.2933741882443428,0.40823403000831604,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.2596554458141327,0.30433958768844604,0.17893208598252386,8.0,0.2871011309325695,0.534756064414978,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.45099206268787384,0.549830973148346,0.2592447847418953,10.5,0.28661495447158813,0.3659787178039551,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.201608344912529,0.890731155872345,0.33652631117001874,12.375,-0.018984103575348854,0.04745841398835182,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.3018030375242233,0.32036659121513367,0.3740784237161279,5.75,0.3151548020541668,0.5580081343650818,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.061653196811676025,0.5650807023048401,0.1737989529647166,11.25,0.04005764424800873,0.209641695022583,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.011835187673568726,0.5694282054901123,0.02812184036815779,15.0,0.10168667323887348,0.2485649287700653,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.17957845330238342,0.5410636067390442,0.39153797924518585,3.75,0.2375338450074196,0.40210041403770447,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.2029304802417755,0.11418372392654419,0.293537107296288,2.375,0.23972905427217484,0.30634090304374695,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.16113689541816711,0.5689595341682434,0.1439399253576994,5.0,0.2922399751842022,0.5065138339996338,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.2344348058104515,0.19373460114002228,0.5914987474679947,2.5,0.3132406175136566,0.348930686712265,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.2179575078189373,0.33765459060668945,0.44085694072146,13.375,0.1819000132381916,0.24445149302482605,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.2982725128531456,0.4523649513721466,0.3137109065428376,7.0,0.19886071607470512,0.31162333488464355,0
Qwen2.5-7B-Instruct,0,medqa,,0,1,0.22159230336546898,0.42311179637908936,0.38480521441670135,9.5,0.2036195807158947,0.2921358644962311,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.3202475383877754,0.7892032861709595,0.020865656435489655,6.0,0.20815574005246162,0.30970168113708496,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.03828353434801102,0.1251913458108902,0.37220430007437244,9.125,0.2817916087806225,0.4958474040031433,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.05132877826690674,0.5081342458724976,0.04255562512844335,10.25,0.0904232757166028,0.19938631355762482,0
Qwen2.5-7B-Instruct,0,medqa,,0,1,0.024014905095100403,0.3197435438632965,0.6942969560623169,0.25,0.2825421020388603,0.5021843910217285,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.10635120794177055,0.3345705568790436,0.3288924088847125,11.5,0.17778411507606506,0.2526423931121826,0
Qwen2.5-7B-Instruct,0,medqa,,0,1,-0.23284101486206055,0.5541696548461914,0.7008641362190247,0.0,0.2255888134241104,0.35585641860961914,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.17467964440584183,0.5570759773254395,0.3422541825566441,10.5,0.3295702338218689,0.3899858891963959,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.2923153191804886,0.49044784903526306,0.10623671114444733,4.0,0.2741658613085747,0.37258705496788025,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.02541714906692505,0.37258216738700867,0.21800601488212124,9.125,0.04053494334220886,0.1978856772184372,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.47541286051273346,0.5725644826889038,0.5054747307440266,8.75,0.21298322081565857,0.2562866806983948,0
Qwen2.5-7B-Instruct,0,medqa,,0,1,0.06340532004833221,0.35857290029525757,0.35137702638166957,10.625,0.10346548818051815,0.16130496561527252,0
Qwen2.5-7B-Instruct,0,medqa,,0,1,-0.17862149700522423,-0.08204393833875656,0.5121539384126663,2.0,0.3686683475971222,0.46625933051109314,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.5826942920684814,0.7655102610588074,0.4421405494213104,1.5,0.36150161921977997,0.39305225014686584,0
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.3203205578029156,0.5259594917297363,0.304279163479805,2.75,0.2578153982758522,0.3217158615589142,0
