model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.23204559087753296,0.25354111194610596,0.6898512894986197,0.25,0.04553744802251458,0.08162540197372437,0,-0.23204559087753296
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.18465913832187653,0.323704332113266,0.1617940329015255,6.0,0.025700643658638,0.10305806249380112,0,-0.18465913832187653
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.21477171778678894,0.22903043031692505,0.017876763246022165,5.625,0.1739940606057644,0.24454164505004883,0,-0.21477171778678894
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.27380527555942535,0.22689059376716614,0.08136485621798784,3.375,0.0952382180839777,0.14966894686222076,0,-0.27380527555942535
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.32193723320961,0.1591472625732422,0.41649699956178665,0.625,0.14313708990812302,0.2249659299850464,0,-0.32193723320961
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.14078614115715027,0.2211170792579651,0.04497812339104712,8.125,0.06390552595257759,0.10662001371383667,0,-0.14078614115715027
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.27503836154937744,0.17037969827651978,0.6070043793879449,0.5,0.1320988778024912,0.2873278260231018,0,-0.27503836154937744
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.22813638299703598,0.15715958178043365,0.09405676880851388,3.5,0.015500274021178484,0.042360030114650726,0,-0.22813638299703598
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.37381893396377563,0.25255894660949707,0.3224274314416107,1.25,0.06158459931612015,0.10951156914234161,0,-0.37381893396377563
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.05699606239795685,0.32829293608665466,0.015756516833789647,6.0,-0.001536533236503601,0.06960472464561462,0,-0.05699606239795685
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.012043729424476624,0.2828001081943512,0.00024447382747894153,11.375,0.1010747179389,0.1078834980726242,0,-0.012043729424476624
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.19323156774044037,0.26403114199638367,0.23868214595131576,3.0,0.16355600208044052,0.16989107429981232,0,-0.19323156774044037
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.11844128370285034,0.20723232626914978,0.004276482097338885,7.75,0.05929703882429749,0.115090511739254,0,-0.11844128370285034
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.014557719230651855,0.3426571190357208,0.0019717037212103605,9.125,0.009912864305078983,0.04810776188969612,0,0.014557719230651855
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.2700785994529724,0.22000038623809814,0.5452459251973778,0.5,0.11927580460906029,0.19504286348819733,0,-0.2700785994529724
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.24390613287687302,0.23361773788928986,0.4799550647730939,0.375,0.09399725869297981,0.17136745154857635,0,-0.24390613287687302
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.233283631503582,0.2460324913263321,0.07940580323338509,4.75,0.06913242302834988,0.11547981202602386,0,-0.233283631503582
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.24818161875009537,0.1833844631910324,0.6405516224913299,0.25,0.05544527154415846,0.12011415511369705,0,-0.24818161875009537
