model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Qwen3-8B,0,mmlu,,1,1,-0.7771892100572586,0.2451704442501068,0.4142367746680975,7.25,0.19598956778645515,0.26918908953666687,0,-0.7771892100572586
Qwen3-8B,0,mmlu,,1,0,-1.3263992369174957,-0.2896273732185364,0.7863635420799255,0.375,0.08874516189098358,0.2740289866924286,0,-1.3263992369174957
Qwen3-8B,0,mmlu,,1,1,-1.1538422405719757,0.3737925887107849,0.3552967814030126,8.5,0.23741640150547028,0.3076034188270569,0,-1.1538422405719757
Qwen3-8B,0,mmlu,,1,0,-1.9542191624641418,-1.0419224500656128,0.24809592217206955,4.25,0.32482901215553284,0.43631666898727417,0,-1.9542191624641418
Qwen3-8B,0,mmlu,,1,0,-0.7185699939727783,0.5271769762039185,0.4175422564148903,4.875,0.16798295266926289,0.3194279372692108,0,-0.7185699939727783
Qwen3-8B,0,mmlu,,1,0,-0.881077641621232,0.04696465656161308,0.46134721022099257,7.625,0.11532982252538204,0.18154366314411163,0,-0.881077641621232
Qwen3-8B,0,mmlu,,1,0,-1.4375410676002502,-0.25895392894744873,0.6122588217258453,1.5,0.5399610251188278,0.5967064499855042,0,-1.4375410676002502
Qwen3-8B,0,mmlu,,1,1,-1.320161446928978,-0.4884187877178192,0.29473540652543306,7.25,0.16879827901721,0.2636217474937439,0,-1.320161446928978
Qwen3-8B,0,mmlu,,1,0,-0.9745022598654032,-0.04100989177823067,0.2831943118944764,6.625,0.17111047450453043,0.32096177339553833,0,-0.9745022598654032
Qwen3-8B,0,mmlu,,0,0,-1.265601210296154,-0.16827283799648285,0.4870728552341461,3.375,0.15718666836619377,0.24567541480064392,0,-1.265601210296154
Qwen3-8B,0,mmlu,,1,0,-1.4146673381328583,-0.33746856451034546,0.48821036517620087,3.75,0.17210233211517334,0.27157479524612427,0,-1.4146673381328583
Qwen3-8B,0,mmlu,,1,0,-1.3893317580223083,-0.26732003688812256,0.3391470042988658,6.0,0.3074549771845341,0.5355443358421326,0,-1.3893317580223083
Qwen3-8B,0,mmlu,,0,0,-1.551963672041893,-0.3307625949382782,0.718934178352356,0.75,0.10546456277370453,0.29252737760543823,0,-1.551963672041893
Qwen3-8B,0,mmlu,,1,0,-0.9615998603403568,-0.022298045456409454,0.32711508125066757,4.5,0.24087893962860107,0.4158725440502167,0,-0.9615998603403568
Qwen3-8B,0,medqa,,1,1,-1.461557537317276,-0.4689357876777649,0.3083054297603667,6.75,0.31591132283210754,0.34738385677337646,0,-1.461557537317276
Qwen3-8B,0,medqa,,0,1,-1.1874516792595387,-0.06943503767251968,0.30217229202389717,6.125,0.13054394721984863,0.31849175691604614,0,-1.1874516792595387
Qwen3-8B,0,medqa,,1,1,-1.19076769053936,-0.3100906312465668,0.281829372048378,4.375,0.12884651590138674,0.22646662592887878,0,-1.19076769053936
Qwen3-8B,0,medqa,,1,1,-1.2380179204046726,-0.08655119687318802,0.43981178663671017,5.125,0.18985480070114136,0.3155743181705475,0,-1.2380179204046726
Qwen3-8B,0,medqa,,1,1,-1.1696100383996964,-0.1286013424396515,0.3680483642965555,5.625,0.29091618955135345,0.4073583781719208,0,-1.1696100383996964
Qwen3-8B,0,medqa,,0,1,-1.5031746923923492,-0.3908718228340149,0.5257617980241776,0.75,0.26638267934322357,0.35041263699531555,0,-1.5031746923923492
Qwen3-8B,0,medqa,,1,1,-0.9309582244604826,-0.005058791488409042,0.2983226007781923,7.75,0.26673005521297455,0.37879064679145813,0,-0.9309582244604826
Qwen3-8B,0,medqa,,0,1,-1.5227383077144623,-0.30742067098617554,0.5706908106803894,2.0,0.15645531937479973,0.2877577543258667,0,-1.5227383077144623
Qwen3-8B,0,medqa,,1,1,-0.9663926362991333,-0.14574730396270752,0.24765354627743363,7.0,0.24114476144313812,0.37368109822273254,0,-0.9663926362991333
Qwen3-8B,0,medqa,,0,1,-1.5568932741880417,-0.48861822485923767,0.6972938179969788,0.5,0.1465419279411435,0.32390978932380676,0,-1.5568932741880417
Qwen3-8B,0,medqa,,1,1,-1.2350288182497025,-0.1589588224887848,0.29862578213214874,3.625,0.21049837628379464,0.4195950925350189,0,-1.2350288182497025
Qwen3-8B,0,medqa,,1,1,-1.4428191538900137,-0.04682595655322075,0.24682586640119553,3.75,0.21474700141698122,0.4558795392513275,0,-1.4428191538900137
Qwen3-8B,0,medqa,,0,1,-1.2819050699472427,-0.15377119183540344,0.24115455523133278,4.375,0.2880779653787613,0.49499380588531494,0,-1.2819050699472427
Qwen3-8B,0,medqa,,1,1,-1.5408265888690948,-0.50119549036026,0.5936008393764496,0.5,0.2829333283007145,0.5435821413993835,0,-1.5408265888690948
Qwen3-8B,0,medqa,,0,1,-1.256382018327713,-0.4712885022163391,0.14003895223140717,5.375,0.13689305074512959,0.25299718976020813,0,-1.256382018327713
Qwen3-8B,0,medqa,,1,1,-1.4541575610637665,-0.5114831328392029,0.2577865421772003,5.875,0.1550874449312687,0.24582424759864807,0,-1.4541575610637665
Qwen3-8B,0,medqa,,1,1,-0.8235241486690938,0.008598622865974903,0.17195139825344086,6.625,0.13157118577510118,0.28819596767425537,0,-0.8235241486690938
Qwen3-8B,0,medqa,,1,1,-0.9710801150649786,-0.046931128948926926,0.2499167136847973,6.75,0.22550305724143982,0.44116079807281494,0,-0.9710801150649786
Qwen3-8B,0,medqa,,1,1,-1.3655808418989182,-0.13490304350852966,0.49959954619407654,2.0,0.15144346933811903,0.3266962170600891,0,-1.3655808418989182
Qwen3-8B,0,medqa,,0,1,-1.6288663893938065,-0.4039088785648346,0.8306027799844742,0.5,0.2035752721130848,0.43004536628723145,0,-1.6288663893938065
Qwen3-8B,0,medqa,,1,1,-0.5925833880901337,0.2907029986381531,0.146028446033597,7.125,0.1456359855365008,0.29614049196243286,0,-0.5925833880901337
Qwen3-8B,0,medqa,,1,1,-1.619311273097992,-0.688559889793396,0.3374207615852356,2.375,0.33107706904411316,0.4393993318080902,0,-1.619311273097992
Qwen3-8B,0,medqa,,0,1,-1.330440241843462,-0.048837341368198395,0.2812427133321762,5.0,0.2634027674794197,0.4246816039085388,0,-1.330440241843462
Qwen3-8B,0,medqa,,1,1,-1.2903228551149368,-0.3095532953739166,0.337364649400115,5.625,0.13983158022165298,0.2145393192768097,0,-1.2903228551149368
Qwen3-8B,0,medqa,,1,1,-0.7935971394181252,0.11432342231273651,0.5101331183686852,6.25,0.13134393654763699,0.3220852017402649,0,-0.7935971394181252
Qwen3-8B,0,medqa,,0,1,-1.1047208942472935,-0.055991776287555695,0.5201665759086609,1.625,0.29181624948978424,0.48527786135673523,0,-1.1047208942472935
Qwen3-8B,0,medqa,,0,1,-1.52560456097126,-0.2889985144138336,0.5758475065231323,0.75,0.28105988912284374,0.5177530646324158,0,-1.52560456097126
Qwen3-8B,0,medqa,,0,1,-0.9660787880420685,0.18437832593917847,0.30000932328402996,5.375,0.2474533375352621,0.4554000794887543,0,-0.9660787880420685
Qwen3-8B,0,medqa,,1,1,-1.5848686695098877,-0.6633236408233643,0.2213904969394207,4.75,0.2512236721813679,0.43892449140548706,0,-1.5848686695098877
Qwen3-8B,0,medqa,,1,1,-1.2822577729821205,0.06503705680370331,0.7890386879444122,1.125,0.12158326804637909,0.3725859820842743,0,-1.2822577729821205
Qwen3-8B,0,medqa,,1,1,-0.9867636114358902,-0.01638689637184143,0.12424412090331316,7.375,0.25119061954319477,0.4591708183288574,0,-0.9867636114358902
Qwen3-8B,0,medqa,,1,1,-1.4445991218090057,-0.4309539198875427,0.44987802393734455,7.125,0.13838481158018112,0.16764870285987854,0,-1.4445991218090057
Qwen3-8B,0,medqa,,1,1,-0.9023300483822823,-0.07069124281406403,0.18846885301172733,6.0,0.23314570635557175,0.40787166357040405,0,-0.9023300483822823
Qwen3-8B,0,medqa,,0,1,-1.6991021633148193,-0.5878889560699463,0.42396989464759827,1.75,0.18653518706560135,0.4350382387638092,0,-1.6991021633148193
Qwen3-8B,0,medqa,,1,1,-1.1513191498816013,0.11323856562376022,0.27814289927482605,4.75,0.32225124537944794,0.4681795537471771,0,-1.1513191498816013
Qwen3-8B,0,medqa,,1,1,-1.7468589842319489,-0.6701658368110657,0.226175956428051,3.5,0.11099065840244293,0.410013884305954,0,-1.7468589842319489
Qwen3-8B,0,medqa,,1,1,-1.0698326602578163,0.23523811995983124,0.18849426228553057,6.25,0.06524884700775146,0.22806493937969208,0,-1.0698326602578163
