model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Qwen2.5-7B-Instruct,0,mmlu,,1,1,3.217998504638672,6.435997009277344,0.10818056727293879,10.125,0.17099700961261988,0.34245437383651733,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,2.871547222137451,5.743094444274902,0.444473072886467,0.75,0.2531120702624321,0.29894933104515076,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,2.8382346630096436,5.676469326019287,0.1618255281355232,8.875,0.15906383097171783,0.25263115763664246,0
Qwen2.5-7B-Instruct,0,mmlu,,0,1,3.391223907470703,6.782447814941406,0.29317423701286316,2.25,0.21412258595228195,0.34696802496910095,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,3.277961015701294,6.555922031402588,0.46784746646881104,2.0,0.158927321434021,0.1937178522348404,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.284623622894287,6.569247245788574,0.02534016030767816,14.25,-0.004469415172934532,0.01632276177406311,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.0980730056762695,6.196146011352539,0.20534429140388966,7.75,0.28426703810691833,0.4384426772594452,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.1047353744506836,6.209470748901367,0.1259967079386115,6.375,0.2470356971025467,0.31790947914123535,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,3.4178738594055176,6.835747718811035,1.0183090567588806,1.0,0.34557848423719406,0.48280221223831177,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.1646981239318848,6.3293962478637695,0.3876593046588823,8.25,0.14071182161569595,0.15377625823020935,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.3046112060546875,6.609222412109375,0.34871016442775726,4.0,0.3653178084641695,0.676738440990448,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.071423053741455,6.14284610748291,0.49353983311448246,9.625,0.27180569991469383,0.45115751028060913,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.3179361820220947,6.6358723640441895,0.20060947648016736,10.125,0.29499805346131325,0.5739613175392151,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,4.210714340209961,8.421428680419922,0.2926602102816105,4.25,0.1394176110625267,0.16684652864933014,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,3.0447726249694824,6.089545249938965,0.03751300723524764,10.375,0.3093666806817055,0.42155250906944275,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.2113356590270996,6.422671318054199,0.8337772488594055,1.5,0.13029249012470245,0.16811925172805786,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.331261157989502,6.662522315979004,0.35240853568393504,12.25,0.19611503183841705,0.27384984493255615,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,4.277339458465576,8.554678916931152,0.011430287617258728,9.75,0.1873636469244957,0.20816344022750854,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,3.397886276245117,6.795772552490234,0.2186118216509385,14.75,0.25525853782892227,0.3661501407623291,0
Qwen2.5-7B-Instruct,0,mmlu,,0,1,2.8981971740722656,5.796394348144531,0.3404809385538101,0.75,0.18509125709533691,0.2879846692085266,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.2579734325408936,6.515946865081787,0.25004012430872535,14.375,0.1435277834534645,0.17036312818527222,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.064760208129883,6.129520416259766,0.25645759352482855,7.5,0.3766729459166527,0.5718163847923279,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.8242878913879395,7.648575782775879,0.024031770473811775,9.5,0.14709586650133133,0.18631237745285034,0
Qwen2.5-7B-Instruct,0,mmlu,,0,1,3.53779935836792,7.07559871673584,0.31908515840768814,2.75,0.28186844382435083,0.5458084344863892,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,2.8448970317840576,5.689794063568115,0.08719877904513851,8.875,0.11784760653972626,0.13162165880203247,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,3.437861442565918,6.875722885131836,0.32120883258176036,11.0,0.2134823501110077,0.3100953996181488,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,2.9848101139068604,5.969620227813721,0.15925454522948712,2.25,0.39954909682273865,0.6485730409622192,0
